Store ID,Name,Brand,Store Number,Phone Number,Ownership Type,Street Combined,Street 1,Street 2,Street 3,City,Country Subdivision,Country,Postal Code,Coordinates,Latitude,Longitude,Timezone,Current Timezone Offset,Olson Timezone,First Seen
6723,Renaissance Nashville,Starbucks,78012-107811,,LS,611 Commerce St,611 Commerce St,,,Nashville,TN,US,372033742,"(36.1608352661133, -86.7808074951172)",36.160835266113281,-86.780807495117188,Central Standard Time,-360,GMT-06:00 America/Chicago,12/08/2013 10:41:59 PM
6360,Ventura Blvd & Shirley,Starbucks,11779-106400,818-774-9660,CO,19439 Ventura Blvd,19439 Ventura Blvd,,,Tarzana,CA,US,913563030,"(34.1729278564453, -118.557067871094)",34.172927856445312,-118.55706787109375,Pacific Standard Time,-480,GMT-08:00 America/Los_Angeles,12/08/2013 10:41:59 PM
6361,Watson & Old Sappington,Starbucks,10745-113345,(314) 729-1624,CO,9590 Watson Road,9590 Watson Road,,,Crestwood,MO,US,631261515,"(38.5570106506348, -90.3811645507813)",38.557010650634766,-90.38116455078125,Central Standard Time,-360,GMT-06:00 America/Chicago,12/08/2013 10:41:59 PM
6364,Blackhawk & Camino Tassajara,Starbucks,14226-95956,925-736-7662,CO,"4000 Blackhawk Plaza Circle, A1",4000 Blackhawk Plaza Circle,A1,,Danville,CA,US,945064654,"(37.8006362915039, -121.919586181641)",37.800636291503906,-121.91958618164063,Pacific Standard Time,-480,GMT-08:00 America/Los_Angeles,12/08/2013 10:41:59 PM
6366,I-285 @ Paces Ferry Rd,Starbucks,11788-106442,770-438-8221,CO,2495 Cumberland Pkwy SE,2495 Cumberland Pkwy SE,,,Atlanta,GA,US,303396132,"(33.8648986816406, -84.4773864746094)",33.864898681640625,-84.477386474609375,Eastern Standard Time,-300,GMT-05:00 America/New_York,12/08/2013 10:41:59 PM
6367,Winter Garden Village,Starbucks,13877-105103,407-656-5231,CO,"3310 Daniels Rd, Suite 114",3310 Daniels Rd,Suite 114,,Winter Garden,FL,US,347877020,"(28.521390914917, -81.5879745483398)",28.521390914916992,-81.587974548339844,Eastern Standard Time,-300,GMT-05:00 America/New_York,12/08/2013 10:41:59 PM
6369,SR 228 & I-10,Starbucks,13607-107499,904-259-7632,CO,9200 SR 228,9200 SR 228,,,MacClenny,FL,US,32063,"(30.263973236084, -82.1071319580078)",30.263973236083984,-82.107131958007812,Eastern Standard Time,-300,GMT-05:00 America/New_York,12/08/2013 10:41:59 PM
6370,Safeway - Tucson #1989,Starbucks,79702-113972,520-296-0042,LS,9460 E Golf Links Rd,9460 E Golf Links Rd,,,Tucson,AZ,US,857301337,"(32.1903915405273, -110.790916442871)",32.190391540527344,-110.79091644287109,US Mountain Standard Time,-420,GMT+000000 America/Phoenix,12/08/2013 10:41:59 PM
6373,Rte 12 & Hartigan - Volo,Starbucks,14235-113424,847-973-2592,CO,2745 Hartigan Rd,2745 Hartigan Rd,,,Volo,IL,US,600202128,"(42.3631134033203, -88.1674270629883)",42.363113403320312,-88.167427062988281,Central Standard Time,-360,GMT-06:00 America/Chicago,12/08/2013 10:41:59 PM
6375,Jersey Gardens Mall,Starbucks,14295-107071,908 965-2102,CO,"651 Kapkowski Road, 1456, Jersey Gardens",651 Kapkowski Road,1456,Jersey Gardens,Elizabeth,NJ,US,072014901,"(40.6606521606445, -74.1714477539063)",40.660652160644531,-74.17144775390625,Eastern Standard Time,-300,GMT-05:00 America/New_York,12/08/2013 10:41:59 PM
6376,Oxford Valley Mall,Starbucks,13984-114625,215 750-3792,CO,"2300 E. Lincoln Hwy, 2046, Oxford Valley Mall",2300 E. Lincoln Hwy,2046,Oxford Valley Mall,Langhorne,PA,US,190471824,"(40.1841697692871, -74.8809814453125)",40.184169769287109,-74.8809814453125,Eastern Standard Time,-300,GMT-05:00 America/New_York,12/08/2013 10:41:59 PM
6378,"Manchester, Deming St.",Starbucks,10500-101168,860-644-1919,CO,172 Deming Street,172 Deming Street,,,Manchester,CT,US,060421728,"(41.8133087158203, -72.526611328125)",41.813308715820312,-72.526611328125,Eastern Standard Time,-300,GMT-05:00 America/New_York,12/08/2013 10:41:59 PM
6379,Albertsons -- Eagle #182,Starbucks,73690-128388,208-939-9850,LS,250 South Eagle Rd,250 South Eagle Rd,,,Eagle,ID,US,836165906,"(43.6926460266113, -116.352233886719)",43.692646026611328,-116.35223388671875,Mountain Standard Time,-420,GMT-07:00 America/Denver,12/08/2013 10:41:59 PM
6380,Safeway - Middletown #1559,Starbucks,79709-126864,301-371-3126,LS,815 E Main St,815 E Main St,,,Middletown,MD,US,217697722,"(39.4387817382813, -77.5257568359375)",39.43878173828125,-77.5257568359375,Eastern Standard Time,-300,GMT-05:00 America/New_York,12/08/2013 10:41:59 PM
6381,"Macy's-Novi, MI",Starbucks,75470-106739,,LS,27550 Novi Road,27550 Novi Road,,,Novi,MI,US,483773418,"(42.4919624328613, -83.4710922241211)",42.491962432861328,-83.4710922241211,Eastern Standard Time,-300,GMT-05:00 America/New_York,12/08/2013 10:41:59 PM
6382,Limited Brands - Victoria's Secret,Starbucks,75489-112624,,LS,4 Limited Pkwy,4 Limited Pkwy,,,Reynoldsburg,OH,US,430685300,"(40.0543327331543, -82.8962783813477)",40.0543327331543,-82.896278381347656,Eastern Standard Time,-300,GMT-05:00 America/New_York,12/08/2013 10:41:59 PM
6383,Kroger-Cincinnati #948,Starbucks,73876-103619,513-719-2401,LS,6165 Glenway Avenue,6165 Glenway Avenue,,,Cincinnati,OH,US,452116338,"(39.1428642272949, -84.6227264404297)",39.142864227294922,-84.622726440429688,Eastern Standard Time,-300,GMT-05:00 America/New_York,12/08/2013 10:41:59 PM
6385,MEM Pre Security B Ticketing,Starbucks,78038-115427,901-922-8295,LS,2491 Winchester Rd,2491 Winchester Rd,,,Memphis,TN,US,381163851,"(35.0519409179688, -89.9817733764648)",35.05194091796875,-89.981773376464844,Central Standard Time,-360,GMT-06:00 America/Chicago,12/08/2013 10:41:59 PM
6386,QFC-W Lynwood #835,Starbucks,72578-103051,425-774-5109,LS,7500-B 196th SW,7500-B 196th SW,,,Lynnwood,WA,US,980365090,"(47.820499420166, -122.334899902344)",47.820499420166016,-122.33489990234375,Pacific Standard Time,-480,GMT-08:00 America/Los_Angeles,12/08/2013 10:41:59 PM
6387,Rochester & South Blvd,Starbucks,14214-114270,248-879-2267,CO,6908 Rochester Road,6908 Rochester Road,,,Troy,MI,US,480851292,"(42.6217422485352, -83.1297760009766)",42.621742248535156,-83.129776000976562,Eastern Standard Time,-300,GMT-05:00 America/New_York,12/08/2013 10:41:59 PM
6388,"Maryland & Windmill, Las Vegas",Starbucks,13659-105635,702-263-4721,CO,"8150 S. Maryland Pkwy., D-1",8150 S. Maryland Pkwy.,D-1,,Las Vegas,NV,US,891234107,"(36.0417556762695, -115.135444641113)",36.041755676269531,-115.13544464111328,Pacific Standard Time,-480,GMT-08:00 America/Los_Angeles,12/08/2013 10:41:59 PM
6392,Reno & Mickey Mantle at Bricktown,Starbucks,10518-100464,405-606-3953,CO,"200 S Oklahoma, 100, 405",200 S Oklahoma,100,405,Oklahoma City,OK,US,731042484,"(35.4636421203613, -97.5099182128906)",35.463642120361328,-97.509918212890625,Central Standard Time,-360,GMT-06:00 America/Chicago,12/08/2013 10:41:59 PM
6393,3500 South & 2700 West,Starbucks,13989-108295,801-964-1130,CO,2727 West 3500 South,2727 West 3500 South,,,West Valley City,UT,US,841193106,"(40.696231842041, -111.958389282227)",40.696231842041016,-111.95838928222656,Mountain Standard Time,-420,GMT-07:00 America/Denver,12/08/2013 10:41:59 PM
6394,Gaskins & Mayland,Starbucks,14272-117365,(804)217-8602,CO,3820A Gaskins RD,3820A Gaskins RD,,,Richmond,VA,US,232331435,"(37.6413459777832, -77.5709991455078)",37.6413459777832,-77.570999145507812,Eastern Standard Time,-300,GMT-05:00 America/New_York,12/08/2013 10:41:59 PM
6395,Moreland & Delafield,Starbucks,9807-98204,262 547 1331,CO,801 W Moreland Blvd,801 W Moreland Blvd,,,Waukesha,WI,US,531882971,"(43.0245933532715, -88.2418899536133)",43.024593353271484,-88.241889953613281,Central Standard Time,-360,GMT-06:00 America/Chicago,12/08/2013 10:41:59 PM
6396,South Military & West Mason,Starbucks,13800-108215,920 497 0810,CO,615 S Military Ave,615 S Military Ave,,,Green Bay,WI,US,543032211,"(44.5239601135254, -88.0638046264648)",44.523960113525391,-88.063804626464844,Central Standard Time,-360,GMT-06:00 America/Chicago,12/08/2013 10:41:59 PM
6397,NAS Lemoore-Reeves Blvd,Starbucks,75442-107092,,LS,796 Reeves Blvd,796 Reeves Blvd,,,NAS Lemoore,CA,US,932467500,"(36.3008995056152, -119.782493591309)",36.300899505615234,-119.78249359130859,Pacific Standard Time,-480,GMT-08:00 America/Los_Angeles,12/08/2013 10:41:59 PM
6398,Safeway-Bowie #2713,Starbucks,79696-97712,301-867-0340,LS,12410 Fairwood Prky,12410 Fairwood Prky,,,Bowie,MD,US,207206312,"(38.9652404785156, -76.7896881103516)",38.965240478515625,-76.789688110351562,Eastern Standard Time,-300,GMT-05:00 America/New_York,12/08/2013 10:41:59 PM
6402,Johnson & Wales University-Providen,Starbucks,78055-108693,401-598-2195,LS,59 Chestnut Street,59 Chestnut Street,,,Providence,RI,US,029034114,"(41.8193473815918, -71.4128570556641)",41.8193473815918,-71.412857055664062,Eastern Standard Time,-300,GMT-05:00 America/New_York,12/08/2013 10:41:59 PM
6403,Lincoln Plaza Bon Appetit,Starbucks,78062-115644,9723654089,LS,500 N. Akard St.,500 N. Akard St.,,,Dallas,TX,US,752013302,"(32.7843589782715, -96.8001403808594)",32.784358978271484,-96.800140380859375,Central Standard Time,-360,GMT-06:00 America/Chicago,12/08/2013 10:41:59 PM
6404,Cook Children's Medical Center,Starbucks,78074-107938,682-885-7108,LS,801 Seventh Avenue,801 Seventh Avenue,,,Fort Worth,TX,US,761042733,"(32.7376518249512, -97.3411865234375)",32.737651824951172,-97.3411865234375,Central Standard Time,-360,GMT-06:00 America/Chicago,12/08/2013 10:41:59 PM
6405,Great Wolf Lodge @ Grapevine,Starbucks,78019-107624,817-488-6510,LS,1400 East Highway 26,1400 East Highway 26,,,Grapevine,TX,US,760513713,"(32.949634552002, -97.0542831420898)",32.949634552001953,-97.054283142089844,Central Standard Time,-360,GMT-06:00 America/Chicago,12/08/2013 10:41:59 PM
6407,Bruce B Downs Blvd & SR56,Starbucks,13497-105286,813-907-5082,CO,1800 Bruce B Downs Blvd.,1800 Bruce B Downs Blvd.,,,Wesley Chapel,FL,US,335448632,"(28.1833534240723, -82.3529205322266)",28.183353424072266,-82.352920532226562,Eastern Standard Time,-300,GMT-05:00 America/New_York,12/08/2013 10:41:59 PM
6408,Ingles-Asheville #7,Starbucks,73885-132946,828-255-8097,LS,29 Tunnel Rd,29 Tunnel Rd,,,Asheville,NC,US,288051229,"(35.5957107543945, -82.5354537963867)",35.595710754394531,-82.535453796386719,Eastern Standard Time,-300,GMT-05:00 America/New_York,12/08/2013 10:41:59 PM
6409,Glen Ridge,Starbucks,13383-104771,973 743 1752,CO,710 Bloomfield Ave.,710 Bloomfield Ave.,,,Glen Ridge,NJ,US,070282332,"(40.7973976135254, -74.2012100219727)",40.797397613525391,-74.201210021972656,Eastern Standard Time,-300,GMT-05:00 America/New_York,12/08/2013 10:41:59 PM
6413,Safeway - Silverton #1580,Starbucks,79661-101963,503-873-1800,LS,301 Westfield St,301 Westfield St,,,Silverton,OR,US,973811936,"(45.003303527832, -122.793640136719)",45.003303527832031,-122.79364013671875,Pacific Standard Time,-480,GMT-08:00 America/Los_Angeles,12/08/2013 10:41:59 PM
6414,Commercial & Oakhill - Salem,Starbucks,14305-115144,503-363-0172,CO,3904 Commercial Street SE,3904 Commercial Street SE,,,Salem,OR,US,973023837,"(44.8997917175293, -123.038520812988)",44.8997917175293,-123.03852081298828,Pacific Standard Time,-480,GMT-08:00 America/Los_Angeles,12/08/2013 10:41:59 PM
6415,Coit & 635,Starbucks,14144-111906,972-661-2666,CO,"7995 LBJ, Suite 114",7995 LBJ,Suite 114,,Dallas,TX,US,75231,"(32.9251365661621, -96.7700424194336)",32.925136566162109,-96.7700424194336,Central Standard Time,-360,GMT-06:00 America/Chicago,12/08/2013 10:41:59 PM
6416,14th & Erie,Starbucks,13991-108499,920 208 3335,CO,1026 North 14th Street,1026 North 14th Street,,,Sheboygan,WI,US,530813814,"(43.7560234069824, -87.723388671875)",43.756023406982422,-87.723388671875,Central Standard Time,-360,GMT-06:00 America/Chicago,12/08/2013 10:41:59 PM
6419,Belleview & Prince- Littleton,Starbucks,13490-98427,303 797-0431,CO,"2600 West Belleview Avenue, Suite #100",2600 West Belleview Avenue,Suite #100,,Littleton,CO,US,80123,"(39.623706817627, -105.019226074219)",39.623706817626953,-105.01922607421875,Mountain Standard Time,-420,GMT-07:00 America/Denver,12/08/2013 10:41:59 PM
6421,Milwaukee & Overland- Boise,Starbucks,13571-106831,208-377-0683,CO,8275 West Overland Rd.,8275 West Overland Rd.,,,Boise,ID,US,837091637,"(43.5900077819824, -116.28515625)",43.590007781982422,-116.28515625,Mountain Standard Time,-420,GMT-07:00 America/Denver,12/08/2013 10:41:59 PM
6422,Willowbrook-Rte 83 & Plainfield,Starbucks,11625-104858,630-321-0317,CO,7167 Route 83,7167 Route 83,,,Willowbrook,IL,US,60527,"(41.7591819763184, -87.9442367553711)",41.759181976318359,-87.9442367553711,Central Standard Time,-360,GMT-06:00 America/Chicago,12/08/2013 10:41:59 PM
6423,Randolph & Morgan - West Loop,Starbucks,14433-124124,312-850-0079,CO,946 W. Randolph St.,946 W. Randolph St.,,,Chicago,IL,US,606072238,"(41.8846015930176, -87.6518859863281)",41.884601593017578,-87.651885986328125,Central Standard Time,-360,GMT-06:00 America/Chicago,12/08/2013 10:41:59 PM
6424,Hoffman Estates-Barrington & Hassle,Starbucks,13754-108020,847-884-5921,CO,2071 Barrington Rd.,2071 Barrington Rd.,,,Hoffman Estates,IL,US,601692023,"(42.0614013671875, -88.1439666748047)",42.0614013671875,-88.143966674804688,Central Standard Time,-360,GMT-06:00 America/Chicago,12/08/2013 10:41:59 PM
6428,Kroger-Plano #581,Starbucks,73846-106201,(972) 612-3280,LS,2925 Custer Road,2925 Custer Road,,,Plano,TX,US,750752065,"(33.0388298034668, -96.7348175048828)",33.0388298034668,-96.734817504882812,Central Standard Time,-360,GMT-06:00 America/Chicago,12/08/2013 10:41:59 PM
6430,Target Virginia Beach East T-1047,Starbucks,76823-108029,(757) 428-0233,LS,525 First Colonial Rd,525 First Colonial Rd,,,Virginia Beach,VA,US,234516119,"(36.8466567993164, -76.0218505859375)",36.846656799316406,-76.0218505859375,Eastern Standard Time,-300,GMT-05:00 America/New_York,12/08/2013 10:41:59 PM
6432,Westlake & Thomas - Seattle,Starbucks,13915-105892,206-382-4624,CO,330 Westlake Ave N,330 Westlake Ave N,,,Seattle,WA,US,981095218,"(47.6214942932129, -122.338157653809)",47.621494293212891,-122.33815765380859,Pacific Standard Time,-480,GMT-08:00 America/Los_Angeles,12/08/2013 10:41:59 PM
6433,Safeway - Leavenworth #1589,Starbucks,79685-106164,509-548-5435,LS,116 RIVERBEND DR.,116 RIVERBEND DR.,,,Leavenworth,WA,US,988261360,"(47.5969543457031, -120.647270202637)",47.596954345703125,-120.64727020263672,Pacific Standard Time,-480,GMT-08:00 America/Los_Angeles,12/08/2013 10:41:59 PM
6434,76 East Palm Drive,Starbucks,13939-108784,305-246-7443,CO,76 East Palm Dr,76 East Palm Dr,,,Florida City,FL,US,330343507,"(25.4482173919678, -80.4757461547852)",25.448217391967773,-80.475746154785156,Eastern Standard Time,-300,GMT-05:00 America/New_York,12/08/2013 10:41:59 PM
6435,US 27 & Thunderbird,Starbucks,13239-104281,863-382-3498,CO,1768 US 27 N.,1768 US 27 N.,,,Sebring,FL,US,338701921,"(27.4995174407959, -81.488639831543)",27.4995174407959,-81.488639831542969,Eastern Standard Time,-300,GMT-05:00 America/New_York,12/08/2013 10:41:59 PM
6437,"NM 528 and Rockaway, Rio Rancho",Starbucks,13657-106849,505 891-5343,CO,115 State Highway 528 NE,115 State Highway 528 NE,,,Rio Rancho,NM,US,871245979,"(35.2600288391113, -106.637954711914)",35.260028839111328,-106.63795471191406,Mountain Standard Time,-420,GMT-07:00 America/Denver,12/08/2013 10:41:59 PM
6438,Fred Meyer-Roseburg #281,Starbucks,73839-96219,541-672-8581,LS,929 NW Garden Valley Rd,929 NW Garden Valley Rd,,,Roseburg,OR,US,974711900,"(43.2283248901367, -123.368423461914)",43.228324890136719,-123.36842346191406,Pacific Standard Time,-480,GMT-08:00 America/Los_Angeles,12/08/2013 10:41:59 PM
6439,Target Kingsport T-2332,Starbucks,76845-110955,423-578-1726,LS,2626 E Stone Dr,2626 E Stone Dr,,,Kingsport,TN,US,376605883,"(36.5509338378906, -82.4941558837891)",36.550933837890625,-82.494155883789062,Eastern Standard Time,-300,GMT-05:00 America/New_York,12/08/2013 10:41:59 PM
6440,Super Target Cedar Park ST-2342,Starbucks,76811-110962,512-456-2933,LS,"1101 C-Bar Ranch Trail, Lot #2",1101 C-Bar Ranch Trail,Lot #2,,Cedar Park,TX,US,78613,"(30.5284767150879, -97.8134155273438)",30.528476715087891,-97.81341552734375,Central Standard Time,-360,GMT-06:00 America/Chicago,12/08/2013 10:41:59 PM
6441,Super Target Frisco North ST-2338,Starbucks,76824-110963,972-464-5745,LS,4884 Eldorado Pkwy,4884 Eldorado Pkwy,,,Frisco,TX,US,75034,"(33.1752548217773, -96.843864440918)",33.175254821777344,-96.843864440917969,Central Standard Time,-360,GMT-06:00 America/Chicago,12/08/2013 10:41:59 PM
6442,Super Target McKinney ST-2335,Starbucks,76817-110964,469-525-4974,LS,2025 N Central Expy,2025 N Central Expy,,,McKinney,TX,US,750702911,"(33.2191619873047, -96.6329116821289)",33.219161987304688,-96.6329116821289,Central Standard Time,-360,GMT-06:00 America/Chicago,12/08/2013 10:41:59 PM
6443,Target Longview T-2283,Starbucks,76868-121844,903-323-5000,LS,"3092 N Eastman Rd, Ste 100",3092 N Eastman Rd,Ste 100,,Longview,TX,US,756057950,"(32.5339965820313, -94.7227325439453)",32.53399658203125,-94.722732543945312,Central Standard Time,-360,GMT-06:00 America/Chicago,12/08/2013 10:41:59 PM
6444,Super Target Austin Southpark ST-22,Starbucks,76816-110959,572-687-0634,LS,"9500 S I-35, Feeder Rd Bldg G",9500 S I-35,Feeder Rd Bldg G,,Austin,TX,US,787481752,"(30.1637725830078, -97.7931976318359)",30.163772583007812,-97.793197631835938,Central Standard Time,-360,GMT-06:00 America/Chicago,12/08/2013 10:41:59 PM
6446,Target Stafford South T-2175,Starbucks,76850-113070,540-374-4820,LS,53 Standstead Rd,53 Standstead Rd,,,Stafford,VA,US,22554,"(38.4690437316895, -77.4081115722656)",38.469043731689453,-77.408111572265625,Eastern Standard Time,-300,GMT-05:00 America/New_York,12/08/2013 10:41:59 PM
6449,Target Richland T-2314,Starbucks,76865-118484,509-943-2763,LS,2941 Queensgate Dr,2941 Queensgate Dr,,,Richland,WA,US,993529101,"(46.2590370178223, -119.313117980957)",46.259037017822266,-119.31311798095703,Pacific Standard Time,-480,GMT-08:00 America/Los_Angeles,12/08/2013 10:41:59 PM
6450,180th & W Valley Hwy - Kent,Starbucks,11665-88085,425-251-3267,CO,"18016 71st Ave. S., 101",18016 71st Ave. S.,101,,Kent,WA,US,980321025,"(47.4409637451172, -122.244171142578)",47.440963745117188,-122.24417114257813,Pacific Standard Time,-480,GMT-08:00 America/Los_Angeles,12/08/2013 10:41:59 PM
